법정동코드,시도명,시군구명
1100000000,서울특별시,
1111000000,서울특별시,종로구
1114000000,서울특별시,중구
1117000000,서울특별시,용산구
1120000000,서울특별시,성동구
1121500000,서울특별시,광진구
1123000000,서울특별시,동대문구
1126000000,서울특별시,중랑구
1129000000,서울특별시,성북구
1130500000,서울특별시,강북구
1132000000,서울특별시,도봉구
1135000000,서울특별시,노원구
1138000000,서울특별시,은평구
1141000000,서울특별시,서대문구
1144000000,서울특별시,마포구
1147000000,서울특별시,양천구
1150000000,서울특별시,강서구
1153000000,서울특별시,구로구
1154500000,서울특별시,금천구
1156000000,서울특별시,영등포구
1159000000,서울특별시,동작구
1162000000,서울특별시,관악구
1165000000,서울특별시,서초구
1168000000,서울특별시,강남구
1171000000,서울특별시,송파구
1174000000,서울특별시,강동구
2114000000,부산직할시,서구
2117000000,부산직할시,동구
2120000000,부산직할시,영도구
2123000000,부산직할시,부산진구
2126000000,부산직할시,동래구
2129000000,부산직할시,남구
2132000000,부산직할시,북구
2135000000,부산직할시,해운대구
2138000000,부산직할시,사하구
2141000000,부산직할시,금정구
2214500000,대구직할시,동구안심출장
2223500000,대구직할시,북구칠곡출장
2226000000,대구직할시,수성구
2229000000,대구직할시,달서구
2311500000,인천직할시,중구영종출장
2311600000,인천직할시,중구용유출장
2320000000,인천직할시,남동구
2323500000,인천직할시,북구계양출장
2420000000,광주직할시,광산구
2520000000,대전직할시,유성구
2523000000,대전직할시,대덕구
2647000000,부산광역시,연제구
2650000000,부산광역시,수영구
2653000000,부산광역시,사상구
2671000000,부산광역시,기장군
2771000000,대구광역시,달성군
2772000000,대구광역시,군위군
2817700000,인천광역시,미추홀구
2818500000,인천광역시,연수구
2823700000,인천광역시,부평구
2824500000,인천광역시,계양구
2826500000,인천광역시,서구검단출장
2871000000,인천광역시,강화군
2872000000,인천광역시,옹진군
3171000000,울산광역시,울주군
3611000000,세종특별자치시,세종시
4101000000,경기도,인천시
4101100000,경기도,인천시중구
4101200000,경기도,인천시동구
4101300000,경기도,인천시남구
4101400000,경기도,인천시북구
4105000000,경기도,부천군
4111000000,경기도,수원시
4111100000,경기도,수원시장안구
4111300000,경기도,수원시권선구
4111500000,경기도,수원시팔달구
4111700000,경기도,수원시영통구
4113000000,경기도,성남시
4113100000,경기도,성남시수정구
4113300000,경기도,성남시중원구
4113500000,경기도,성남시분당구
4115000000,경기도,의정부시
4117000000,경기도,안양시
4117100000,경기도,안양시만안구
4117300000,경기도,안양시동안구
4117500000,경기도,안양시만안출
4117600000,경기도,안양시동안출
4119000000,경기도,부천시
4119100000,경기도,부천시중구
4119200000,경기도,부천시원미구
4119300000,경기도,부천시남구
4119400000,경기도,부천시소사구
4119600000,경기도,부천시오정구
4121000000,경기도,광명시
4122000000,경기도,평택시
4123000000,경기도,송탄시
4125000000,경기도,동두천시
4127000000,경기도,안산시
